Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
211		2.7484		3.8691		0.0000		0.6826		0.00845959
212		2.7589		4.0369		0.0000		0.6424		0.00837494
213		2.7556		3.9177		0.0000		0.6703		0.00829021
214		2.7529		3.9605		0.0000		0.6563		0.00820537
215		2.7462		3.9958		0.0000		0.6606		0.00812044
216		2.7462		4.0781		0.0000		0.6603		0.00803541
217		2.7596		4.1082		0.0000		0.6568		0.00795028
218		2.7546		5.4131		0.0000		0.5142		0.00786504
219		2.7617		3.9828		0.0000		0.6602		0.00777971
220		2.7514		3.8875		0.0000		0.6702		0.00769427
221		2.7371		4.1008		0.0000		0.6551		0.00760872
222		2.7743		3.9754		0.0000		0.6663		0.00752307
223		2.7440		4.0382		0.0000		0.6698		0.00743731
224		2.7475		3.9344		0.0000		0.6746		0.00735144
225		2.7390		4.0165		0.0000		0.6653		0.00726546
226		2.7411		4.0406		0.0000		0.6765		0.00717936
227		2.7416		4.2058		0.0000		0.6579		0.00709315
228		2.7386		4.1001		0.0000		0.6338		0.00700683
229		2.7370		4.1011		0.0000		0.6720		0.00692038
230		2.7322		3.9625		0.0000		0.6674		0.00683382
231		2.7312		4.0776		0.0000		0.6756		0.00674713
232		2.7257		4.0251		0.0000		0.6665		0.00666032
233		2.7264		4.1122		0.0000		0.6682		0.00657338
234		2.7206		4.4607		0.0000		0.6011		0.00648632
235		2.7254		3.9512		0.0000		0.6754		0.00639912
236		2.7199		4.1843		0.0000		0.6594		0.00631180
237		2.7188		4.0476		0.0000		0.6617		0.00622433
238		2.7159		4.1038		0.0000		0.6675		0.00613674
239		2.7146		3.9875		0.0000		0.6727		0.00604900
240		2.7121		3.9123		0.0000		0.6732		0.00596112
241		2.7114		4.1703		0.0000		0.6715		0.00587309
242		2.7093		4.3120		0.0000		0.6545		0.00578492
243		2.6975		4.1029		0.0000		0.6767		0.00569660
244		2.7141		4.0574		0.0000		0.6733		0.00560813
245		2.7011		4.0486		0.0000		0.6760		0.00551950
246		2.6997		4.1599		0.0000		0.6623		0.00543072
247		2.7007		4.1470		0.0000		0.6612		0.00534177
248		2.7005		4.1328		0.0000		0.6703		0.00525266
249		2.6984		4.0183		0.0000		0.6773		0.00516338
250		2.6977		4.1715		0.0000		0.6671		0.00507392
251		2.6942		4.1597		0.0000		0.6811		0.00498430
252		2.6910		4.1632		0.0000		0.6791		0.00489449
253		2.6875		4.0879		0.0000		0.6778		0.00480450
254		2.6887		4.1153		0.0000		0.6779		0.00471432
255		2.6924		4.1894		0.0000		0.6758		0.00462395
256		2.6926		4.1052		0.0000		0.6839		0.00453338
257		2.6890		4.0615		0.0000		0.6829		0.00444261
258		2.6809		3.9793		0.0000		0.6839		0.00435164
259		2.6848		4.0902		0.0000		0.6878		0.00426045
260		2.6809		4.1619		0.0000		0.6801		0.00416904
261		2.6778		4.1939		0.0000		0.6652		0.00407741
262		2.6790		4.1747		0.0000		0.6826		0.00398556
263		2.6783		4.1073		0.0000		0.6755		0.00389346
264		2.6813		4.1749		0.0000		0.6794		0.00380113
265		2.6786		4.1170		0.0000		0.6855		0.00370854
266		2.6710		4.2162		0.0000		0.6797		0.00361570
267		2.6764		4.1430		0.0000		0.6808		0.00352259
268		2.6668		4.1165		0.0000		0.6820		0.00342920
269		2.6738		4.1921		0.0000		0.6799		0.00333554
270		2.6666		4.2104		0.0000		0.6734		0.00324158
271		2.6706		4.1541		0.0000		0.6771		0.00314731
272		2.6640		4.1635		0.0000		0.6842		0.00305273
273		2.6659		4.1594		0.0000		0.6753		0.00295783
274		2.6582		4.1235		0.0000		0.6766		0.00286258
275		2.6666		4.4375		0.0000		0.6327		0.00276699
276		2.6592		4.1630		0.0000		0.6809		0.00267102
277		2.6562		4.1737		0.0000		0.6831		0.00257467
278		2.6593		4.2227		0.0000		0.6831		0.00247791
279		2.6591		4.2142		0.0000		0.6808		0.00238074
280		2.6574		4.1701		0.0000		0.6808		0.00228312
281		2.6519		4.2146		0.0000		0.6779		0.00218503
282		2.6598		4.1428		0.0000		0.6838		0.00208646
283		2.6503		4.2087		0.0000		0.6826		0.00198736
284		2.6496		4.2509		0.0000		0.6816		0.00188771
285		2.6513		4.2354		0.0000		0.6795		0.00178747
286		2.6544		4.1959		0.0000		0.6843		0.00168660
287		2.6531		4.1863		0.0000		0.6816		0.00158506
288		2.6477		4.2110		0.0000		0.6802		0.00148279
289		2.6481		4.2187		0.0000		0.6815		0.00137973
290		2.6409		4.2304		0.0000		0.6853		0.00127580
291		2.6448		4.2061		0.0000		0.6842		0.00117093
292		2.6434		4.1924		0.0000		0.6797		0.00106500
293		2.6399		4.2466		0.0000		0.6785		0.00095788
294		2.6387		4.2286		0.0000		0.6814		0.00084941
295		2.6457		4.2785		0.0000		0.6810		0.00073938
296		2.6385		4.1987		0.0000		0.6817		0.00062749
297		2.6382		4.2331		0.0000		0.6825		0.00051332
298		2.6422		4.1929		0.0000		0.6818		0.00039622
299		2.6384		4.2020		0.0000		0.6827		0.00027508
300		2.6424		4.2113		0.0000		0.6828		0.00014741
